Tracker Experiment Results 31-Oct-2014
LEFT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
1.06	218.4506	148.6755	91.8761	0.7116 	 -0.3634 	 0.5391 	 0.2664 	1.9155 	 0.6110 	 1.3809 	 
1.08	218.4685	148.6906	91.8889	0.7116 	 -0.3636 	 0.5391 	 0.2662 	1.9159 	 0.6109 	 1.3812 	 
1.1	218.4763	148.6979	91.8749	0.7114 	 -0.3634 	 0.5393 	 0.2665 	1.9149 	 0.6109 	 1.3814 	 
1.12	218.4871	148.6973	91.8555	0.7114 	 -0.3634 	 0.5393 	 0.2664 	1.9148 	 0.6110 	 1.3815 	 
1.14	218.4655	148.6655	91.8842	0.7112 	 -0.3636 	 0.5393 	 0.2666 	1.9145 	 0.6105 	 1.3820 	 
1.15	218.469	148.6896	91.8777	0.7116 	 -0.3632 	 0.5392 	 0.2663 	1.9154 	 0.6113 	 1.3809 	 
1.17	218.4532	148.7119	91.8628	0.7114 	 -0.3633 	 0.5394 	 0.2663 	1.9150 	 0.6114 	 1.3815 	 
1.18	218.4514	148.6905	91.8686	0.7114 	 -0.3634 	 0.5392 	 0.2665 	1.9150 	 0.6108 	 1.3813 	 
1.21	218.452	148.6945	91.8693	0.7114 	 -0.3633 	 0.5394 	 0.2665 	1.9146 	 0.6111 	 1.3814 	 
1.25	218.4618	148.7263	91.8599	0.7115 	 -0.3633 	 0.5394 	 0.2663 	1.9149 	 0.6114 	 1.3814 	 
1.28	218.4384	148.7229	91.8764	0.7116 	 -0.3634 	 0.5392 	 0.2662 	1.9156 	 0.6114 	 1.3811 	 
1.3	218.4758	148.6904	91.8721	0.7113 	 -0.3634 	 0.5394 	 0.2667 	1.9143 	 0.6108 	 1.3817 	 
1.32	218.4481	148.7086	91.8636	0.7116 	 -0.3630 	 0.5394 	 0.2664 	1.9149 	 0.6116 	 1.3809 	 
1.35	218.4528	148.7256	91.8678	0.7115 	 -0.3633 	 0.5393 	 0.2663 	1.9152 	 0.6114 	 1.3812 	 
1.38	218.4372	148.7121	91.869	0.7115 	 -0.3633 	 0.5393 	 0.2664 	1.9150 	 0.6112 	 1.3812 	 
1.39	218.4451	148.7145	91.861	0.7112 	 -0.3634 	 0.5394 	 0.2666 	1.9143 	 0.6109 	 1.3818 	 
1.42	218.4286	148.7029	91.8588	0.7113 	 -0.3633 	 0.5395 	 0.2666 	1.9142 	 0.6110 	 1.3817 	 
1.45	218.4345	148.6978	91.8581	0.7112 	 -0.3634 	 0.5395 	 0.2666 	1.9140 	 0.6109 	 1.3820 	 
1.47	218.4548	148.7163	91.8421	0.7113 	 -0.3633 	 0.5395 	 0.2667 	1.9142 	 0.6110 	 1.3816 	 
1.49	218.4252	148.6976	91.8543	0.7111 	 -0.3633 	 0.5396 	 0.2667 	1.9137 	 0.6111 	 1.3820 	 
1.5	218.4496	148.7192	91.8455	0.7112 	 -0.3634 	 0.5395 	 0.2666 	1.9141 	 0.6110 	 1.3819 	 
1.53	218.4334	148.7189	91.844	0.7113 	 -0.3632 	 0.5395 	 0.2666 	1.9142 	 0.6112 	 1.3816 	 
1.55	218.4287	148.7183	91.8389	0.7112 	 -0.3632 	 0.5396 	 0.2666 	1.9138 	 0.6112 	 1.3820 	 
1.57	218.4036	148.7136	91.8467	0.7114 	 -0.3631 	 0.5396 	 0.2664 	1.9145 	 0.6116 	 1.3815 	 
1.59	218.4432	148.7029	91.8497	0.7112 	 -0.3633 	 0.5395 	 0.2667 	1.9140 	 0.6110 	 1.3816 	 
1.61	218.4067	148.7123	91.8627	0.7113 	 -0.3633 	 0.5396 	 0.2664 	1.9143 	 0.6114 	 1.3818 	 
