Tracker Experiment Results 31-Oct-2014
LEFT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0.45	162.2778	124.8081	88.9772	0.6693 	 -0.3872 	 0.5376 	 0.3363 	1.7930 	 0.4771 	 1.4330 	 
0.47	162.643	124.2836	89.4082	0.6699 	 -0.3862 	 0.5369 	 0.3376 	1.7928 	 0.4763 	 1.4293 	 
0.49	163.7274	121.4592	89.7376	0.6816 	 -0.4024 	 0.5114 	 0.3345 	1.8547 	 0.4423 	 1.4007 	 
0.5	162.9864	123.0937	90.7181	0.6756 	 -0.3800 	 0.5344 	 0.3370 	1.8007 	 0.4847 	 1.4119 	 
0.51	163.3604	122.2463	91.2562	0.6792 	 -0.3769 	 0.5328 	 0.3358 	1.8073 	 0.4901 	 1.4021 	 
0.52	163.6777	121.1443	92.1546	0.6826 	 -0.3726 	 0.5324 	 0.3344 	1.8114 	 0.4979 	 1.3929 	 
0.54	164.128	122.521	96.5269	0.7148 	 -0.3629 	 0.5232 	 0.2892 	1.9160 	 0.5682 	 1.3444 	 
0.57	166.6451	118.574	100.2968	0.7217 	 -0.3424 	 0.5223 	 0.2985 	1.9077 	 0.5818 	 1.3046 	 
0.59	168.1564	116.2492	103.9378	0.7297 	 -0.3259 	 0.5215 	 0.2990 	1.9138 	 0.6019 	 1.2707 	 
0.6	169.544	115.6562	105.452	0.7332 	 -0.3167 	 0.5216 	 0.3002 	1.9143 	 0.6124 	 1.2536 	 
0.61	170.4284	115.0763	107.0494	0.7367 	 -0.3099 	 0.5187 	 0.3036 	1.9171 	 0.6139 	 1.2345 	 
0.63	172.7264	112.3869	109.4798	0.7328 	 -0.2956 	 0.5166 	 0.3298 	1.8764 	 0.5970 	 1.2106 	 
0.64	174.0756	112.7883	111.577	0.7354 	 -0.2904 	 0.5139 	 0.3329 	1.8783 	 0.5974 	 1.1953 	 
0.66	177.4456	114.7398	115.7715	0.7410 	 -0.2874 	 0.5050 	 0.3367 	1.8927 	 0.5883 	 1.1698 	 
0.67	179.0826	116.4626	117.9448	0.7461 	 -0.2871 	 0.4982 	 0.3358 	1.9104 	 0.5831 	 1.1529 	 
0.7	185.8399	124.2518	122.8641	0.7565 	 -0.2902 	 0.4850 	 0.3292 	1.9525 	 0.5736 	 1.1263 	 
0.71	188.0842	126.4378	124.1167	0.7579 	 -0.2926 	 0.4810 	 0.3296 	1.9597 	 0.5659 	 1.1221 	 
0.75	197.8512	135.3092	125.8709	0.7537 	 -0.3022 	 0.4754 	 0.3384 	1.9512 	 0.5376 	 1.1314 	 
0.76	200.5749	138.1216	125.809	0.7549 	 -0.3067 	 0.4736 	 0.3342 	1.9621 	 0.5352 	 1.1348 	 
0.79	208.8026	145.0696	124.8916	0.7459 	 -0.3157 	 0.4798 	 0.3374 	1.9399 	 0.5266 	 1.1661 	 
