# FOX Logger (IMU file)
# (c) INRIA 2011-2014
#
# File created from file HKB0_01.RAW
#
# File format:
# t;dt;ax;ay;az
#
# Units:
#	Time: s
#	Acceleration: m.s^-2
#
0.000916;0.000916;-0.431640;0.215820;-9.986580
0.006073;0.005157;-0.470880;0.255060;-10.065060
0.011230;0.005157;-0.470880;0.235440;-10.143540
0.016388;0.005157;-0.412020;0.215820;-10.143540
0.021545;0.005157;-0.333540;0.196200;-10.163160
0.026703;0.005157;-0.294300;0.235440;-10.143540
0.031860;0.005157;-0.353160;0.274680;-10.143540
0.036987;0.005127;-0.313920;0.215820;-10.123920
0.042145;0.005157;-0.353160;0.255060;-10.241640
0.047302;0.005157;-0.412020;0.255060;-10.300500
0.052460;0.005157;-0.274680;0.235440;-10.241640
0.057617;0.005157;-0.274680;0.196200;-10.182780
0.062775;0.005157;-0.372780;0.255060;-10.143540
0.067932;0.005157;-0.431640;0.274680;-10.065060
0.073090;0.005157;-0.392400;0.313920;-10.123920
0.078247;0.005157;-0.372780;0.274680;-10.202400
0.083405;0.005157;-0.431640;0.255060;-10.202400
0.088562;0.005157;-0.451260;0.215820;-10.143540
0.093719;0.005157;-0.431640;0.235440;-10.104300
0.098877;0.005157;-0.353160;0.255060;-10.182780
0.104034;0.005157;-0.333540;0.313920;-10.261260
0.109192;0.005157;-0.235440;0.274680;-10.280880
0.114349;0.005157;-0.313920;0.333540;-10.339740
0.119507;0.005157;-0.274680;0.372780;-10.241640
0.124634;0.005127;-0.235440;0.353160;-10.182780
0.129791;0.005157;-0.235440;0.294300;-10.143540
0.134949;0.005157;-0.255060;0.313920;-10.065060
0.140106;0.005157;-0.372780;0.392400;-10.241640
0.145264;0.005157;-0.372780;0.372780;-10.359360
0.150421;0.005157;-0.294300;0.392400;-10.378980
0.155579;0.005157;-0.255060;0.294300;-10.339740
0.160736;0.005157;-0.313920;0.274680;-10.202400
0.165894;0.005157;-0.313920;0.255060;-10.261260
