Tracker Experiment Results 03-Nov-2014
LEFT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0.6	-170.0307	144.3765	89.4251	0.7288 	 -0.3549 	 0.5129 	 0.2826 	1.9556 	 0.5788 	 1.3024 	 
0.61	-170.0429	144.3685	89.3967	0.7289 	 -0.3549 	 0.5128 	 0.2826 	1.9559 	 0.5786 	 1.3021 	 
0.63	-170.0587	144.3945	89.4017	0.7290 	 -0.3550 	 0.5127 	 0.2823 	1.9565 	 0.5788 	 1.3021 	 
0.64	-170.0644	144.4063	89.3903	0.7287 	 -0.3550 	 0.5130 	 0.2826 	1.9552 	 0.5787 	 1.3028 	 
0.66	-170.0751	144.4266	89.3878	0.7289 	 -0.3550 	 0.5128 	 0.2825 	1.9559 	 0.5788 	 1.3023 	 
0.67	-170.0816	144.3917	89.3742	0.7287 	 -0.3551 	 0.5128 	 0.2826 	1.9556 	 0.5784 	 1.3028 	 
0.68	-170.0791	144.4097	89.3906	0.7287 	 -0.3551 	 0.5128 	 0.2827 	1.9555 	 0.5784 	 1.3027 	 
0.69	-170.079	144.418	89.3917	0.7288 	 -0.3549 	 0.5129 	 0.2825 	1.9557 	 0.5788 	 1.3024 	 
0.7	-170.1019	144.4249	89.4001	0.7288 	 -0.3550 	 0.5128 	 0.2824 	1.9558 	 0.5788 	 1.3025 	 
0.71	-170.0676	144.4454	89.3894	0.7289 	 -0.3553 	 0.5126 	 0.2823 	1.9565 	 0.5784 	 1.3024 	 
0.72	-170.0885	144.4283	89.4026	0.7289 	 -0.3551 	 0.5127 	 0.2824 	1.9562 	 0.5787 	 1.3023 	 
0.73	-170.088	144.4271	89.3994	0.7288 	 -0.3550 	 0.5128 	 0.2824 	1.9560 	 0.5788 	 1.3025 	 
0.74	-170.0852	144.3602	89.3906	0.7287 	 -0.3551 	 0.5129 	 0.2826 	1.9553 	 0.5786 	 1.3029 	 
0.75	-170.0648	144.3915	89.4111	0.7288 	 -0.3554 	 0.5126 	 0.2825 	1.9562 	 0.5781 	 1.3027 	 
0.76	-170.0704	144.4111	89.4207	0.7288 	 -0.3552 	 0.5128 	 0.2823 	1.9562 	 0.5786 	 1.3027 	 
0.77	-170.0602	144.4132	89.4319	0.7289 	 -0.3553 	 0.5126 	 0.2823 	1.9566 	 0.5784 	 1.3024 	 
0.78	-170.0488	144.3876	89.432	0.7288 	 -0.3552 	 0.5128 	 0.2824 	1.9558 	 0.5786 	 1.3028 	 
0.79	-170.0341	144.3944	89.4476	0.7287 	 -0.3551 	 0.5129 	 0.2824 	1.9558 	 0.5786 	 1.3028 	 
0.8	-170.0337	144.3762	89.4556	0.7288 	 -0.3553 	 0.5127 	 0.2824 	1.9562 	 0.5784 	 1.3026 	 
0.81	-170.0103	144.37	89.4764	0.7290 	 -0.3552 	 0.5126 	 0.2823 	1.9566 	 0.5785 	 1.3023 	 
0.82	-170.0039	144.3524	89.5	0.7290 	 -0.3553 	 0.5126 	 0.2822 	1.9568 	 0.5785 	 1.3023 	 
0.83	-170.3641	147.1139	91.0208	0.7182 	 -0.3425 	 0.5384 	 0.2774 	1.9049 	 0.6229 	 1.3402 	 
0.84	-170.3487	147.0699	91.0366	0.7184 	 -0.3426 	 0.5381 	 0.2775 	1.9055 	 0.6224 	 1.3397 	 
0.85	-170.3195	147.0601	91.0561	0.7185 	 -0.3427 	 0.5379 	 0.2773 	1.9062 	 0.6223 	 1.3393 	 
0.86	-170.295	147.0126	91.0969	0.7187 	 -0.3430 	 0.5376 	 0.2772 	1.9071 	 0.6219 	 1.3390 	 
0.87	-170.2741	147.0029	91.1154	0.7188 	 -0.3430 	 0.5374 	 0.2771 	1.9078 	 0.6219 	 1.3387 	 
0.88	-170.2455	146.9539	91.1401	0.7188 	 -0.3431 	 0.5374 	 0.2770 	1.9080 	 0.6217 	 1.3387 	 
0.89	-170.2151	146.9077	91.1555	0.7189 	 -0.3432 	 0.5372 	 0.2772 	1.9082 	 0.6214 	 1.3384 	 
0.9	-170.1897	146.8683	91.1923	0.7190 	 -0.3433 	 0.5371 	 0.2770 	1.9087 	 0.6214 	 1.3382 	 
0.91	-170.1501	146.8119	91.2224	0.7191 	 -0.3434 	 0.5369 	 0.2770 	1.9092 	 0.6212 	 1.3380 	 
0.92	-170.1048	146.7862	91.2287	0.7191 	 -0.3433 	 0.5369 	 0.2770 	1.9091 	 0.6211 	 1.3379 	 
0.93	-170.0669	146.7415	91.2752	0.7194 	 -0.3435 	 0.5365 	 0.2768 	1.9104 	 0.6209 	 1.3372 	 
0.94	-170.024	146.707	91.2974	0.7196 	 -0.3437 	 0.5362 	 0.2767 	1.9114 	 0.6205 	 1.3367 	 
0.95	-169.9917	146.6545	91.3279	0.7196 	 -0.3436 	 0.5361 	 0.2768 	1.9116 	 0.6205 	 1.3364 	 
0.96	-169.9411	146.6304	91.3401	0.7197 	 -0.3438 	 0.5359 	 0.2767 	1.9122 	 0.6202 	 1.3363 	 
0.97	-169.9096	146.5726	91.3736	0.7198 	 -0.3439 	 0.5357 	 0.2767 	1.9127 	 0.6198 	 1.3358 	 
0.98	-169.8579	146.5231	91.4137	0.7200 	 -0.3442 	 0.5353 	 0.2766 	1.9137 	 0.6193 	 1.3354 	 
0.99	-169.8147	146.4598	91.4462	0.7200 	 -0.3443 	 0.5352 	 0.2766 	1.9139 	 0.6190 	 1.3354 	 
1	-169.7774	146.4212	91.4853	0.7202 	 -0.3446 	 0.5350 	 0.2765 	1.9147 	 0.6188 	 1.3352 	 
1.01	-169.7332	146.3365	91.5254	0.7201 	 -0.3447 	 0.5348 	 0.2766 	1.9149 	 0.6183 	 1.3351 	 
1.02	-169.6779	146.2811	91.5761	0.7202 	 -0.3448 	 0.5347 	 0.2766 	1.9152 	 0.6182 	 1.3350 	 
1.03	-169.6259	146.204	91.6213	0.7201 	 -0.3449 	 0.5347 	 0.2766 	1.9150 	 0.6180 	 1.3352 	 
1.04	-169.5568	146.1453	91.6809	0.7203 	 -0.3452 	 0.5344 	 0.2765 	1.9160 	 0.6174 	 1.3351 	 
1.05	-169.5024	146.084	91.7646	0.7203 	 -0.3453 	 0.5344 	 0.2764 	1.9161 	 0.6174 	 1.3352 	 
1.06	-169.4595	145.9787	91.8307	0.7202 	 -0.3455 	 0.5344 	 0.2764 	1.9162 	 0.6172 	 1.3354 	 
1.07	-169.4113	145.898	91.8927	0.7204 	 -0.3457 	 0.5340 	 0.2763 	1.9172 	 0.6169 	 1.3349 	 
1.08	-169.3465	145.8259	91.9541	0.7205 	 -0.3455 	 0.5340 	 0.2762 	1.9174 	 0.6171 	 1.3346 	 
1.09	-169.2888	145.6931	92.0316	0.7207 	 -0.3455 	 0.5339 	 0.2760 	1.9180 	 0.6174 	 1.3342 	 
1.1	-169.2639	145.4803	92.13	0.7208 	 -0.3452 	 0.5340 	 0.2760 	1.9179 	 0.6177 	 1.3338 	 
1.11	-169.1868	145.2092	92.2358	0.7214 	 -0.3450 	 0.5337 	 0.2753 	1.9201 	 0.6187 	 1.3325 	 
1.12	-169.126	144.7415	92.3641	0.7218 	 -0.3439 	 0.5339 	 0.2750 	1.9204 	 0.6207 	 1.3308 	 
1.13	-169.0475	144.1854	92.5577	0.7223 	 -0.3426 	 0.5341 	 0.2750 	1.9203 	 0.6226 	 1.3289 	 
1.14	-168.9572	143.6432	92.7701	0.7228 	 -0.3411 	 0.5343 	 0.2752 	1.9198 	 0.6244 	 1.3264 	 
1.15	-168.8812	143.0317	92.9928	0.7233 	 -0.3391 	 0.5348 	 0.2756 	1.9187 	 0.6269 	 1.3236 	 
1.17	-168.7621	141.8225	93.4905	0.7263 	 -0.3365 	 0.5327 	 0.2746 	1.9267 	 0.6298 	 1.3131 	 
1.18	-168.7406	141.075	93.7331	0.7283 	 -0.3351 	 0.5315 	 0.2736 	1.9322 	 0.6320 	 1.3069 	 
1.19	-168.875	139.0696	93.4168	0.7318 	 -0.3346 	 0.5262 	 0.2751 	1.9433 	 0.6261 	 1.2929 	 
1.2	-168.7265	138.2746	93.7206	0.7319 	 -0.3308 	 0.5286 	 0.2748 	1.9390 	 0.6335 	 1.2914 	 
1.21	-168.6357	137.5755	94.0732	0.7322 	 -0.3279 	 0.5303 	 0.2744 	1.9366 	 0.6392 	 1.2897 	 
1.22	-168.521	136.6991	94.4867	0.7327 	 -0.3249 	 0.5311 	 0.2747 	1.9349 	 0.6433 	 1.2861 	 
1.23	-167.8183	134.6077	94.1439	0.7397 	 -0.3279 	 0.5182 	 0.2771 	1.9621 	 0.6248 	 1.2603 	 
1.24	-168.1222	134.6299	95.3925	0.7337 	 -0.3170 	 0.5348 	 0.2742 	1.9291 	 0.6573 	 1.2800 	 
1.25	-168.0057	133.904	95.8624	0.7350 	 -0.3156 	 0.5346 	 0.2726 	1.9330 	 0.6610 	 1.2762 	 
1.26	-167.9037	133.0655	96.3949	0.7365 	 -0.3137 	 0.5339 	 0.2720 	1.9367 	 0.6634 	 1.2706 	 
1.27	-167.6792	132.14	96.8433	0.7375 	 -0.3103 	 0.5347 	 0.2718 	1.9363 	 0.6689 	 1.2658 	 
1.28	-167.3645	131.125	97.2946	0.7389 	 -0.3061 	 0.5354 	 0.2714 	1.9368 	 0.6752 	 1.2593 	 
1.29	-167.1288	130.2524	97.7416	0.7404 	 -0.3040 	 0.5346 	 0.2713 	1.9399 	 0.6773 	 1.2529 	 
1.3	-166.681	129.3754	98.2877	0.7412 	 -0.3019 	 0.5341 	 0.2725 	1.9398 	 0.6779 	 1.2478 	 
1.31	-166.1908	128.7247	98.8952	0.7419 	 -0.3000 	 0.5338 	 0.2731 	1.9402 	 0.6793 	 1.2435 	 
1.32	-165.695	128.1273	99.5703	0.7420 	 -0.2988 	 0.5334 	 0.2750 	1.9383 	 0.6779 	 1.2407 	 
1.33	-165.1885	127.6227	100.2859	0.7418 	 -0.2976 	 0.5331 	 0.2773 	1.9349 	 0.6763 	 1.2385 	 
1.34	-164.5416	127.1602	101.0263	0.7409 	 -0.2980 	 0.5325 	 0.2806 	1.9301 	 0.6710 	 1.2389 	 
1.35	-163.8232	126.7452	101.7778	0.7395 	 -0.2992 	 0.5317 	 0.2846 	1.9244 	 0.6638 	 1.2402 	 
1.36	-162.7351	127.1132	102.8112	0.7375 	 -0.3007 	 0.5314 	 0.2886 	1.9166 	 0.6563 	 1.2440 	 
1.37	-161.3954	127.1673	103.4775	0.7378 	 -0.3073 	 0.5253 	 0.2920 	1.9238 	 0.6382 	 1.2420 	 
1.38	-159.8733	127.1256	104.0453	0.7363 	 -0.3142 	 0.5194 	 0.2990 	1.9229 	 0.6149 	 1.2430 	 
1.39	-158.4601	127.8336	104.9258	0.7343 	 -0.3182 	 0.5163 	 0.3050 	1.9178 	 0.5995 	 1.2449 	 
1.4	-156.7181	128.396	105.6528	0.7312 	 -0.3244 	 0.5131 	 0.3110 	1.9123 	 0.5807 	 1.2509 	 
1.41	-154.5454	128.839	106.4591	0.7288 	 -0.3337 	 0.5054 	 0.3193 	1.9121 	 0.5511 	 1.2528 	 
1.42	-152.5465	129.6194	107.2393	0.7255 	 -0.3414 	 0.5015 	 0.3250 	1.9084 	 0.5302 	 1.2598 	 
1.43	-148.7521	133.1857	108.4737	0.7240 	 -0.3535 	 0.4975 	 0.3214 	1.9209 	 0.5156 	 1.2733 	 
1.44	-146.4687	133.689	109.1105	0.7208 	 -0.3620 	 0.4909 	 0.3294 	1.9188 	 0.4884 	 1.2766 	 
1.45	-144.2794	134.1112	109.7941	0.7158 	 -0.3691 	 0.4867 	 0.3383 	1.9097 	 0.4635 	 1.2832 	 
1.46	-141.4174	134.1375	109.8559	0.7178 	 -0.3843 	 0.4676 	 0.3441 	1.9356 	 0.4191 	 1.2738 	 
1.47	-139.4074	135.3877	110.8726	0.7083 	 -0.3849 	 0.4752 	 0.3526 	1.9042 	 0.4134 	 1.2920 	 
1.48	-136.9464	136.4943	111.4495	0.7037 	 -0.3893 	 0.4738 	 0.3588 	1.8948 	 0.3979 	 1.2986 	 
1.49	-134.1188	136.7643	111.3189	0.7066 	 -0.4039 	 0.4555 	 0.3607 	1.9253 	 0.3601 	 1.2906 	 
1.5	-132.1568	138.106	112.2793	0.6998 	 -0.4025 	 0.4624 	 0.3666 	1.9011 	 0.3598 	 1.3023 	 
1.51	-129.693	139.5702	112.7394	0.6967 	 -0.4039 	 0.4633 	 0.3699 	1.8931 	 0.3540 	 1.3071 	 
1.52	-127.6084	140.3828	113.229	0.6940 	 -0.4059 	 0.4625 	 0.3738 	1.8872 	 0.3452 	 1.3099 	 
1.53	-124.9795	141.7802	113.7094	0.6948 	 -0.4105 	 0.4579 	 0.3729 	1.8970 	 0.3364 	 1.3097 	 
1.54	-122.9537	142.7518	114.0396	0.6940 	 -0.4119 	 0.4573 	 0.3736 	1.8968 	 0.3332 	 1.3114 	 
1.55	-120.6883	144.7547	114.8083	0.6937 	 -0.4104 	 0.4601 	 0.3723 	1.8938 	 0.3393 	 1.3137 	 
1.56	-118.6041	146.2408	115.3614	0.6932 	 -0.4117 	 0.4604 	 0.3715 	1.8946 	 0.3388 	 1.3166 	 
1.57	-116.2656	147.8993	115.8601	0.6934 	 -0.4113 	 0.4613 	 0.3705 	1.8947 	 0.3415 	 1.3174 	 
1.58	-113.7978	149.6419	116.5547	0.6943 	 -0.4120 	 0.4612 	 0.3681 	1.8992 	 0.3439 	 1.3184 	 
1.59	-111.4362	151.5224	117.1136	0.6973 	 -0.4138 	 0.4599 	 0.3619 	1.9128 	 0.3489 	 1.3186 	 
1.6	-108.9215	153.6852	117.9313	0.6978 	 -0.4123 	 0.4625 	 0.3593 	1.9125 	 0.3566 	 1.3204 	 
1.61	-106.423	155.9612	118.3708	0.6980 	 -0.4108 	 0.4656 	 0.3567 	1.9113 	 0.3650 	 1.3232 	 
1.62	-104.3857	157.0881	119.0557	0.6959 	 -0.4072 	 0.4691 	 0.3604 	1.8982 	 0.3676 	 1.3237 	 
1.63	-100.7808	160.4215	119.6762	0.6990 	 -0.4110 	 0.4690 	 0.3499 	1.9166 	 0.3769 	 1.3295 	 
1.64	-97.4324	162.8143	120.2997	0.7011 	 -0.4141 	 0.4659 	 0.3463 	1.9288 	 0.3752 	 1.3288 	 
1.65	-94.4573	165.0229	120.8553	0.7011 	 -0.4140 	 0.4683 	 0.3432 	1.9295 	 0.3816 	 1.3330 	 
1.66	-91.1256	167.9653	121.6178	0.7005 	 -0.4114 	 0.4732 	 0.3408 	1.9243 	 0.3927 	 1.3374 	 
1.67	-87.504	170.3862	122.1726	0.7005 	 -0.4151 	 0.4725 	 0.3373 	1.9313 	 0.3919 	 1.3428 	 
1.68	-83.5686	172.7195	122.708	0.7014 	 -0.4190 	 0.4691 	 0.3355 	1.9407 	 0.3864 	 1.3433 	 
1.69	-79.9154	175.3482	123.3262	0.6997 	 -0.4178 	 0.4739 	 0.3336 	1.9344 	 0.3945 	 1.3505 	 
1.7	-75.7654	177.7993	123.8377	0.6995 	 -0.4224 	 0.4713 	 0.3319 	1.9418 	 0.3886 	 1.3542 	 
1.71	-71.7776	180.2215	124.3672	0.6985 	 -0.4250 	 0.4715 	 0.3304 	1.9433 	 0.3875 	 1.3596 	 
1.72	-67.3318	182.5725	124.8225	0.6965 	 -0.4262 	 0.4729 	 0.3309 	1.9392 	 0.3863 	 1.3650 	 
1.73	-62.9905	184.8301	125.2819	0.6947 	 -0.4305 	 0.4721 	 0.3304 	1.9411 	 0.3806 	 1.3718 	 
1.74	-58.4071	187.2344	125.6833	0.6929 	 -0.4336 	 0.4724 	 0.3298 	1.9410 	 0.3776 	 1.3783 	 
1.75	-53.7563	189.5097	126.1924	0.6910 	 -0.4369 	 0.4721 	 0.3299 	1.9407 	 0.3728 	 1.3844 	 
1.76	-49.0305	191.6167	126.6926	0.6892 	 -0.4405 	 0.4713 	 0.3300 	1.9413 	 0.3672 	 1.3902 	 
1.77	-44.3068	193.6774	127.0897	0.6866 	 -0.4439 	 0.4716 	 0.3302 	1.9395 	 0.3624 	 1.3977 	 
1.78	-39.486	195.5456	127.4679	0.6845 	 -0.4488 	 0.4695 	 0.3310 	1.9415 	 0.3529 	 1.4036 	 
1.79	-34.8441	197.2789	127.8246	0.6828 	 -0.4520 	 0.4695 	 0.3303 	1.9422 	 0.3497 	 1.4098 	 
1.8	-29.9901	199.1331	128.0986	0.6802 	 -0.4562 	 0.4684 	 0.3314 	1.9418 	 0.3415 	 1.4163 	 
1.81	-25.1736	200.6273	128.3931	0.6791 	 -0.4596 	 0.4675 	 0.3304 	1.9447 	 0.3376 	 1.4213 	 
1.82	-20.3877	202.4463	128.7989	0.6755 	 -0.4603 	 0.4704 	 0.3325 	1.9351 	 0.3356 	 1.4287 	 
1.83	-15.628	203.6669	128.9864	0.6756 	 -0.4656 	 0.4665 	 0.3303 	1.9456 	 0.3287 	 1.4319 	 
1.84	-10.827	205.1569	129.3684	0.6724 	 -0.4666 	 0.4691 	 0.3318 	1.9377 	 0.3271 	 1.4390 	 
1.85	-6.1686	206.1625	129.5247	0.6725 	 -0.4715 	 0.4656 	 0.3296 	1.9475 	 0.3209 	 1.4422 	 
1.86	-1.5223	207.3878	129.8858	0.6711 	 -0.4717 	 0.4673 	 0.3300 	1.9436 	 0.3213 	 1.4457 	 
1.87	2.9993	208.5575	130.1143	0.6678 	 -0.4724 	 0.4701 	 0.3313 	1.9353 	 0.3204 	 1.4530 	 
1.88	7.515	209.0729	130.123	0.6680 	 -0.4752 	 0.4688 	 0.3290 	1.9416 	 0.3190 	 1.4559 	 
1.89	11.8491	209.9739	130.3566	0.6664 	 -0.4757 	 0.4700 	 0.3298 	1.9376 	 0.3179 	 1.4594 	 
1.9	16.381	210.6347	130.4676	0.6655 	 -0.4771 	 0.4702 	 0.3292 	1.9379 	 0.3170 	 1.4626 	 
1.91	20.6511	210.9914	130.4945	0.6654 	 -0.4786 	 0.4708 	 0.3263 	1.9413 	 0.3197 	 1.4667 	 
1.92	24.8476	211.7266	130.8022	0.6634 	 -0.4763 	 0.4758 	 0.3267 	1.9308 	 0.3258 	 1.4719 	 
1.93	29.1824	211.712	130.7965	0.6642 	 -0.4791 	 0.4730 	 0.3249 	1.9390 	 0.3225 	 1.4721 	 
