Tracker Experiment Results 03-Nov-2014
LEFT_SHANK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0.6	-204.891	115.5662	268.6779	0.5921 	 -0.3181 	 0.6493 	 0.3560 	1.4556 	 0.5733 	 1.6249 	 
0.61	-204.9031	115.5829	268.686	0.5921 	 -0.3181 	 0.6494 	 0.3557 	1.4556 	 0.5736 	 1.6254 	 
0.63	-204.9852	115.5545	268.6954	0.5918 	 -0.3183 	 0.6494 	 0.3559 	1.4554 	 0.5729 	 1.6257 	 
0.64	-205.0138	115.5616	268.6896	0.5920 	 -0.3181 	 0.6494 	 0.3558 	1.4555 	 0.5735 	 1.6255 	 
0.66	-205.9007	114.3958	268.8625	0.5901 	 -0.3186 	 0.6482 	 0.3608 	1.4515 	 0.5645 	 1.6221 	 
0.67	-205.9083	114.4035	268.8529	0.5902 	 -0.3186 	 0.6481 	 0.3606 	1.4518 	 0.5648 	 1.6219 	 
0.68	-205.9	114.4177	268.8435	0.5900 	 -0.3188 	 0.6481 	 0.3607 	1.4517 	 0.5643 	 1.6223 	 
0.69	-205.8856	114.4188	268.8492	0.5902 	 -0.3188 	 0.6481 	 0.3605 	1.4520 	 0.5647 	 1.6222 	 
0.7	-205.8705	114.458	268.8717	0.5904 	 -0.3188 	 0.6481 	 0.3603 	1.4524 	 0.5652 	 1.6222 	 
0.71	-205.8427	114.4553	268.8771	0.5903 	 -0.3188 	 0.6481 	 0.3605 	1.4522 	 0.5649 	 1.6220 	 
0.72	-205.828	114.468	268.8848	0.5903 	 -0.3188 	 0.6482 	 0.3603 	1.4522 	 0.5651 	 1.6224 	 
0.73	-205.8183	114.4402	268.9091	0.5904 	 -0.3190 	 0.6480 	 0.3602 	1.4530 	 0.5651 	 1.6221 	 
0.74	-205.7952	114.4331	268.9094	0.5905 	 -0.3190 	 0.6479 	 0.3603 	1.4531 	 0.5648 	 1.6219 	 
0.75	-205.7758	114.4009	268.9287	0.5905 	 -0.3190 	 0.6478 	 0.3604 	1.4531 	 0.5645 	 1.6216 	 
0.76	-205.7152	114.4005	268.9389	0.5908 	 -0.3191 	 0.6476 	 0.3602 	1.4541 	 0.5649 	 1.6211 	 
0.77	-205.6725	114.3471	268.9551	0.5907 	 -0.3191 	 0.6475 	 0.3605 	1.4540 	 0.5644 	 1.6209 	 
0.78	-205.5829	114.3264	268.956	0.5911 	 -0.3191 	 0.6473 	 0.3602 	1.4551 	 0.5650 	 1.6202 	 
0.79	-205.4837	114.3219	268.9508	0.5913 	 -0.3193 	 0.6472 	 0.3601 	1.4557 	 0.5649 	 1.6199 	 
0.8	-205.38	114.3217	268.9585	0.5915 	 -0.3190 	 0.6471 	 0.3599 	1.4561 	 0.5656 	 1.6195 	 
0.81	-205.2663	114.2613	268.9625	0.5919 	 -0.3189 	 0.6468 	 0.3600 	1.4570 	 0.5657 	 1.6183 	 
0.82	-205.1386	114.2007	268.9754	0.5919 	 -0.3192 	 0.6463 	 0.3606 	1.4575 	 0.5644 	 1.6173 	 
0.83	-204.98	114.1627	268.9776	0.5921 	 -0.3191 	 0.6460 	 0.3609 	1.4580 	 0.5641 	 1.6162 	 
0.84	-204.8248	114.0679	268.9773	0.5924 	 -0.3192 	 0.6454 	 0.3614 	1.4590 	 0.5632 	 1.6146 	 
0.85	-204.6529	113.9962	268.9802	0.5925 	 -0.3194 	 0.6449 	 0.3619 	1.4596 	 0.5622 	 1.6133 	 
