Tracker Experiment Results 03-Nov-2014
RIGHT_SHANK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
0.68	-174.6289	-151.9733	267.323	0.5531 	 0.3220 	 0.6238 	 -0.4486 	-1.3723 	 0.4127 	 -1.5550 	 
0.69	-174.4262	-151.959	267.3194	0.5527 	 0.3229 	 0.6229 	 -0.4497 	-1.3727 	 0.4094 	 -1.5540 	 
0.7	-174.1871	-151.9545	267.2865	0.5520 	 0.3237 	 0.6222 	 -0.4509 	-1.3726 	 0.4061 	 -1.5532 	 
0.71	-173.989	-151.9531	267.2398	0.5514 	 0.3246 	 0.6215 	 -0.4520 	-1.3724 	 0.4027 	 -1.5527 	 
0.72	-173.8241	-151.9515	267.2089	0.5511 	 0.3249 	 0.6211 	 -0.4527 	-1.3723 	 0.4010 	 -1.5520 	 
0.73	-173.7112	-151.9501	267.1923	0.5510 	 0.3249 	 0.6210 	 -0.4530 	-1.3722 	 0.4005 	 -1.5516 	 
0.74	-173.6267	-151.9457	267.173	0.5509 	 0.3246 	 0.6209 	 -0.4534 	-1.3717 	 0.4003 	 -1.5509 	 
0.75	-173.5576	-151.9577	267.1422	0.5508 	 0.3246 	 0.6207 	 -0.4539 	-1.3713 	 0.3997 	 -1.5505 	 
0.76	-173.4899	-151.9659	267.1204	0.5509 	 0.3244 	 0.6207 	 -0.4539 	-1.3713 	 0.4000 	 -1.5500 	 
0.77	-173.431	-152.0046	267.1152	0.5510 	 0.3243 	 0.6206 	 -0.4540 	-1.3714 	 0.3999 	 -1.5497 	 
0.78	-173.3478	-152.0563	267.0882	0.5509 	 0.3244 	 0.6204 	 -0.4542 	-1.3714 	 0.3994 	 -1.5495 	 
0.79	-173.2594	-152.1316	267.0495	0.5509 	 0.3245 	 0.6203 	 -0.4544 	-1.3714 	 0.3991 	 -1.5492 	 
0.8	-173.1761	-152.2008	267.0128	0.5507 	 0.3245 	 0.6202 	 -0.4547 	-1.3712 	 0.3985 	 -1.5489 	 
0.81	-173.1052	-152.2863	266.9705	0.5508 	 0.3244 	 0.6201 	 -0.4548 	-1.3711 	 0.3985 	 -1.5486 	 
0.82	-173.0352	-152.3634	266.9316	0.5508 	 0.3242 	 0.6201 	 -0.4550 	-1.3708 	 0.3985 	 -1.5483 	 
0.83	-172.9804	-152.4529	266.8894	0.5509 	 0.3237 	 0.6201 	 -0.4552 	-1.3702 	 0.3990 	 -1.5477 	 
0.84	-172.906	-152.5567	266.8525	0.5512 	 0.3231 	 0.6202 	 -0.4551 	-1.3701 	 0.4002 	 -1.5472 	 
0.85	-172.831	-152.6719	266.8119	0.5514 	 0.3226 	 0.6202 	 -0.4552 	-1.3699 	 0.4010 	 -1.5463 	 
0.86	-172.7414	-152.8149	266.7822	0.5519 	 0.3217 	 0.6203 	 -0.4551 	-1.3697 	 0.4027 	 -1.5453 	 
0.87	-172.6646	-152.9457	266.7506	0.5521 	 0.3213 	 0.6202 	 -0.4552 	-1.3696 	 0.4032 	 -1.5446 	 
0.88	-172.5693	-153.0738	266.7129	0.5523 	 0.3209 	 0.6202 	 -0.4553 	-1.3694 	 0.4038 	 -1.5439 	 
0.89	-172.4904	-153.2007	266.6377	0.5523 	 0.3207 	 0.6202 	 -0.4555 	-1.3691 	 0.4039 	 -1.5435 	 
