Tracker Experiment Results 03-Nov-2014
RIGHT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
1.63	-205.8626	-170.9631	74.2185	-0.2479 	 0.7526 	 0.3026 	 0.5297 	-1.9128 	 0.7040 	 1.9981 	 
1.64	-205.8357	-170.9568	74.2065	-0.2480 	 0.7525 	 0.3027 	 0.5297 	-1.9125 	 0.7037 	 1.9978 	 
1.65	-205.8592	-170.9671	74.2133	-0.2479 	 0.7525 	 0.3027 	 0.5297 	-1.9126 	 0.7039 	 1.9981 	 
1.66	-205.8439	-170.9546	74.2046	-0.2479 	 0.7527 	 0.3026 	 0.5295 	-1.9133 	 0.7037 	 1.9986 	 
1.67	-205.8383	-170.9629	74.1951	-0.2479 	 0.7529 	 0.3025 	 0.5293 	-1.9142 	 0.7038 	 1.9993 	 
1.68	-205.8415	-170.9622	74.208	-0.2480 	 0.7528 	 0.3026 	 0.5294 	-1.9136 	 0.7037 	 1.9987 	 
1.69	-205.8399	-170.9666	74.2091	-0.2480 	 0.7526 	 0.3028 	 0.5296 	-1.9127 	 0.7036 	 1.9981 	 
1.7	-205.8316	-170.9539	74.2148	-0.2479 	 0.7527 	 0.3026 	 0.5295 	-1.9132 	 0.7038 	 1.9986 	 
1.71	-205.8129	-170.9417	74.2096	-0.2479 	 0.7526 	 0.3027 	 0.5297 	-1.9127 	 0.7039 	 1.9983 	 
1.72	-205.8268	-170.9662	74.2265	-0.2479 	 0.7527 	 0.3026 	 0.5295 	-1.9134 	 0.7037 	 1.9986 	 
1.73	-205.8073	-170.9314	74.2244	-0.2478 	 0.7526 	 0.3027 	 0.5297 	-1.9127 	 0.7040 	 1.9983 	 
1.74	-205.8246	-170.9467	74.2498	-0.2479 	 0.7527 	 0.3026 	 0.5295 	-1.9134 	 0.7039 	 1.9986 	 
1.75	-205.8187	-170.9366	74.264	-0.2477 	 0.7526 	 0.3024 	 0.5299 	-1.9129 	 0.7046 	 1.9982 	 
1.76	-205.7989	-170.93	74.3157	-0.2478 	 0.7527 	 0.3026 	 0.5297 	-1.9131 	 0.7042 	 1.9984 	 
1.77	-205.783	-170.9136	74.3483	-0.2479 	 0.7528 	 0.3024 	 0.5296 	-1.9136 	 0.7041 	 1.9986 	 
1.78	-205.784	-170.9152	74.3797	-0.2478 	 0.7531 	 0.3020 	 0.5293 	-1.9150 	 0.7044 	 1.9995 	 
1.79	-205.7756	-170.9071	74.4218	-0.2478 	 0.7533 	 0.3019 	 0.5292 	-1.9157 	 0.7045 	 1.9999 	 
1.8	-205.7689	-170.9026	74.4863	-0.2480 	 0.7532 	 0.3018 	 0.5292 	-1.9157 	 0.7044 	 1.9996 	 
1.81	-205.7757	-170.892	74.5287	-0.2479 	 0.7535 	 0.3013 	 0.5291 	-1.9170 	 0.7050 	 2.0003 	 
1.82	-205.7533	-170.8639	74.5498	-0.2478 	 0.7533 	 0.3013 	 0.5295 	-1.9163 	 0.7055 	 1.9997 	 
1.83	-205.7484	-170.8549	74.6039	-0.2479 	 0.7534 	 0.3011 	 0.5294 	-1.9169 	 0.7055 	 1.9997 	 
1.84	-205.7675	-170.8459	74.6442	-0.2480 	 0.7538 	 0.3009 	 0.5290 	-1.9183 	 0.7053 	 2.0007 	 
1.85	-205.7669	-170.8341	74.7015	-0.2480 	 0.7540 	 0.3003 	 0.5290 	-1.9194 	 0.7059 	 2.0010 	 
1.86	-205.7515	-170.8165	74.7478	-0.2480 	 0.7541 	 0.3000 	 0.5290 	-1.9200 	 0.7062 	 2.0011 	 
1.87	-205.7605	-170.8303	74.7957	-0.2482 	 0.7548 	 0.2994 	 0.5282 	-1.9233 	 0.7059 	 2.0031 	 
1.88	-205.7479	-170.806	74.8448	-0.2481 	 0.7546 	 0.2994 	 0.5286 	-1.9223 	 0.7065 	 2.0024 	 
1.89	-205.7543	-170.8072	74.8823	-0.2482 	 0.7548 	 0.2992 	 0.5283 	-1.9233 	 0.7063 	 2.0029 	 
1.9	-205.749	-170.8193	74.9008	-0.2480 	 0.7549 	 0.2990 	 0.5284 	-1.9237 	 0.7069 	 2.0030 	 
1.91	-205.7542	-170.8174	74.9398	-0.2480 	 0.7552 	 0.2984 	 0.5283 	-1.9252 	 0.7074 	 2.0036 	 
1.92	-186.9278	-147.592	84.0246	0.6468 	 0.4576 	 0.5067 	 -0.3398 	-1.8465 	 0.3516 	 -1.4986 	 
1.93	-186.9132	-147.5724	84.0563	0.6471 	 0.4582 	 0.5058 	 -0.3399 	-1.8482 	 0.3503 	 -1.4979 	 
1.94	-186.9137	-147.5635	84.0595	0.6471 	 0.4583 	 0.5058 	 -0.3396 	-1.8487 	 0.3504 	 -1.4980 	 
1.95	-186.9009	-147.5381	84.0787	0.6470 	 0.4585 	 0.5057 	 -0.3397 	-1.8488 	 0.3500 	 -1.4982 	 
1.96	-186.8902	-147.5219	84.091	0.6472 	 0.4587 	 0.5055 	 -0.3396 	-1.8494 	 0.3499 	 -1.4981 	 
1.97	-186.8791	-147.507	84.105	0.6470 	 0.4587 	 0.5055 	 -0.3397 	-1.8492 	 0.3496 	 -1.4982 	 
1.98	-186.8863	-147.4807	84.1088	0.6470 	 0.4588 	 0.5055 	 -0.3396 	-1.8492 	 0.3497 	 -1.4984 	 
1.99	-186.8869	-147.4628	84.128	0.6472 	 0.4590 	 0.5052 	 -0.3395 	-1.8501 	 0.3494 	 -1.4982 	 
2	-186.8733	-147.4465	84.1516	0.6471 	 0.4589 	 0.5054 	 -0.3394 	-1.8498 	 0.3497 	 -1.4985 	 
2.01	-186.8662	-147.4164	84.1699	0.6474 	 0.4592 	 0.5049 	 -0.3393 	-1.8511 	 0.3492 	 -1.4980 	 
2.02	-186.8453	-147.4052	84.1733	0.6474 	 0.4591 	 0.5051 	 -0.3391 	-1.8510 	 0.3496 	 -1.4981 	 
2.03	-186.8263	-147.3759	84.205	0.6474 	 0.4591 	 0.5050 	 -0.3393 	-1.8509 	 0.3493 	 -1.4980 	 
2.04	-186.8149	-147.3423	84.2233	0.6476 	 0.4593 	 0.5047 	 -0.3389 	-1.8520 	 0.3494 	 -1.4977 	 
2.05	-186.7918	-147.3159	84.2472	0.6479 	 0.4594 	 0.5044 	 -0.3388 	-1.8530 	 0.3493 	 -1.4972 	 
2.06	-186.7899	-147.3186	84.2843	0.6479 	 0.4595 	 0.5043 	 -0.3388 	-1.8532 	 0.3491 	 -1.4971 	 
2.07	-186.7614	-147.2647	84.293	0.6482 	 0.4596 	 0.5040 	 -0.3386 	-1.8542 	 0.3491 	 -1.4968 	 
2.08	-186.731	-147.2471	84.3334	0.6482 	 0.4596 	 0.5039 	 -0.3387 	-1.8542 	 0.3490 	 -1.4965 	 
2.09	-186.7133	-147.2077	84.3526	0.6485 	 0.4599 	 0.5035 	 -0.3383 	-1.8557 	 0.3489 	 -1.4962 	 
2.12	-186.3613	-147.2414	84.4971	0.6485 	 0.4584 	 0.5048 	 -0.3383 	-1.8531 	 0.3518 	 -1.4961 	 
2.15	-186.5886	-147.0714	84.5192	0.6496 	 0.4605 	 0.5019 	 -0.3378 	-1.8598 	 0.3479 	 -1.4940 	 
2.16	-186.5817	-147.0537	84.5381	0.6497 	 0.4604 	 0.5018 	 -0.3378 	-1.8602 	 0.3480 	 -1.4936 	 
2.17	-186.5517	-147.0147	84.5717	0.6501 	 0.4606 	 0.5013 	 -0.3376 	-1.8615 	 0.3476 	 -1.4929 	 
2.19	-186.4765	-146.9433	84.6438	0.6505 	 0.4608 	 0.5007 	 -0.3375 	-1.8629 	 0.3473 	 -1.4920 	 
2.2	-186.4459	-146.9046	84.6904	0.6509 	 0.4609 	 0.5002 	 -0.3373 	-1.8644 	 0.3471 	 -1.4912 	 
2.22	-186.3853	-146.8456	84.7431	0.6514 	 0.4612 	 0.4995 	 -0.3369 	-1.8663 	 0.3469 	 -1.4903 	 
2.23	-186.3693	-146.8493	84.7905	0.6516 	 0.4614 	 0.4990 	 -0.3369 	-1.8673 	 0.3463 	 -1.4897 	 
